name,description,version,identifier,category,lastUpdate,label,location,relatesTo,requires,requiredBy,isBefore,isAfter
Zooma,"Zooma is a tool for mapping free text annotations to ontology term based on a curated repository of annotation knowledge.

Where mappings are not found in the curated respository one or more ontologies can be selected from the Ontology Lookup Service to increase coverage. For example if you want to map GWAS annotations select the GWAS datasource and a common disease ontology such as EFO or DOID to maximise coverage when terms have no curated mappings.

Use the text box to find possible ontology mappings for free text terms in the ZOOMA repository of curated annotation knowledge. You can add one term (e.g. 'Homo sapiens') per line. If you also have a type for your term (e.g. 'organism'), put this after the term, separated by a tab.
If you are new to ZOOMA, take a look at our getting started guide.",,tool-8908719240678650787,tools,2021-02-05,"ontology annotation, accessibility",https://www.ebi.ac.uk/spot/zooma/,,,,,
beere,"Tool for Biomedical Entity Expansion, Ranking, and Exploration.",,tool-6162236207964484041,tools,2021-02-05,"ontology annotation, interoperability",http://discovery.informatics.uab.edu/BEERE/,,,,,
biocaddie,Leveraging word embeddings and medical entity extraction for biomedical dataset retrieval using unstructured texts. Mayo's Data for the bioCADDIE 2016 Dataset Retrieval Challenge,,tool6438044801114947699,tools,2021-02-05,"ontology annotation, reusability",https://github.com/yanshanwang/biocaddie2016mayodata,,,,,
onclass,Unifying single-cell annotations based on the Cell Ontology. Single cell typing based on cell ontology. please see the document of OnClass at https://onclass.readthedocs.io/en/latest/,,tool-4918357171446889746,tools,2021-02-05,"ontology annotation, reusability",https://onclass.readthedocs.io/en/latest/,,,,,
hpo2go,"Prediction of human phenotype ontology term associations using cross ontology annotation co-occurrences. Mapping between HPO and GO terms. If you find HPO2GO useful, please consider citing this publication:. Mapping between Human Phenotype Ontology (HPO) and Gene Ontology (GO) terms for the prediction of gene/protein - function - phenotype - disease associations. In this study, a novel approach is proposed for the identification of relationships between biomedical entities by automatically mapping phenotypic abnormality defining HPO terms with biomolecular function defining GO terms, where each association indicates the occurrence of the abnormality due to the loss of the biomolecular function expressed by the corresponding GO term",,tool-1731676583135367744,tools,2021-02-05,"ontology annotation, reusability",https://github.com/cansyl/HPO2GO,,,,,
ontobrowser,"The tool was developed to manage ontologies (and controlled terminologies e.g. CDISC SEND). The primary goal of the tool is to provide an online collaborative solution for expert curators to map code list terms (sourced from multiple systems/databases) to preferred ontology terms. Other key features include visualisation of ontologies in hierarchical/graph format, advanced search capabilities, peer review/approval workflow and web service access to data.",,tool-7989354770938286130,tools,2021-02-05,"ontology annotation, reusability",https://bio.tools/ontobrowser,,,,,
Bert,Bidirectional Encoder Representations from Transformers (BERT) is a Transformer-based machine learning technique for natural language processing (NLP) pre-training developed by Google. ,,tool-1173329963976295008,tools,2021-02-05,"ETL, accessibility",https://en.wikipedia.org/wiki/BERT_(language_model),,,,,
Collibra,Collibra Data Catalog empowers business users to quickly discover and understand data that matters so they can generate impactful insights that drive business value. Collibra Data Lineage: Collibra Data Lineage automatically maps relationships between data to show how data flows from system to system and how data sets are built,,tool-4047816096447411734,tools,2021-02-05,"ETL, findability", aggregated,,,,,
Dublin Core,The Dublin Core Metadata Initiative or DCMI is an organization supporting innovation in metadata design and best practices across the metadata ecology. DCMI works openly and it supported by a paid-membership model. DCMI's activities include: work on architecture and modelling,,tool5605130047360711530,tools,2021-02-05,"ETL, findability",https://dublincore.org/,,,,,
Hadoop,a framework that allows for the distributed processing of large data sets across clusters of computers using simple programming models. It is designed to scale up from single servers to thousands of machines,,tool5168613560416533892,tools,2021-02-05,"ETL, accessibility", each offering local computation and storage. Rather than rely on hardware to deliver high-availability,,,,,
Informatica,Informatica is the only Enterprise Cloud Data Management leader that accelerates data-driven digital transformation. Informatica enables companies to fuel innovation become more agile and realize new growth opportunities resulting in intelligent market disruptions,,tool-1093164953604752218,tools,2021-02-05,"ETL, reusability",https://www.informatica.com/gb/about-us.html,,,,,
OMOP,The OMOP Common Data Model allows for the systematic analysis of disparate observational databases. The concept behind this approach is to transform data contained within those databases into a common format (data model) as well as a common representation (terminologies vocabularies coding schemes) and then perform systematic analyses using a library of standard analytic routines that have been written based on the common format,,tool6773208910100621388,tools,2021-02-05,"ETL, interoperability",https://www.ohdsi.org/data-standardization/the-common-data-model/,,,,,
REDCap,REDCap is a secure web application for building and managing online surveys and databases. While REDCap can be used to collect virtually any type of data in any environment (including compliance with 21 CFR Part 11 FISMA HIPAA and GDPR),,tool971227232691534242,tools,2021-02-05,"ETL, accessibility",https://www.project-redcap.org/,,,,,
SDTM,SDTM provides a standard for organizing and formatting data to streamline processes in collection management analysis and reporting. Implementing SDTM supports data aggregation and warehousing; fosters mining and reuse; facilitates sharing; helps perform due diligence and other important data review activities; and improves the regulatory review and approval process. SDTM is also used in non-clinical data (SEND) medical devices and pharmacogenomics/genetics studies.,,tool6865448652550866976,tools,2021-02-05,"ETL, interoperability",https://www.cdisc.org/standards/foundational/sdtm,,,,,
TAMR,Accelerating Analytic outcomes. The toughest analytics challenges need consolidated cleansed categorized data. Tamr’s data mastering solutions are designed to power timely actionable analytic insightsCloud-Native Master. Data Management (MDM). Tamr’s cloud-native data mastering solutions make it easy to connect internal and external data sources quickly to power analytic insights and drive business outcomes,,tool-3757409349378717183,tools,2021-02-05,"ETL, findability",https://www.tamr.com/,,,,,
TransMART,An Open-Source—Open-Data Community. Enabling collaboration for precision medicine through sharing integration standardization,,tool-6889793941815152999,tools,2021-02-05,"ETL, reusability",https://i2b2transmart.org/,,,,,
TriFacta,Poor data quality can sink any analytics project. Trifacta helps you understand your data so you can quickly and accurately clean it up. Clean Blend & Standardize your Data. Data transformation. All the power with none of the code. Trifacta provides visual and intelligent guidance so you can get to insights faster.Automate Your Data Processes. Data pipelines. Manual repetitive data preparation processes don’t scale. Trifacta helps you build deploy and manage self-service data pipelines in minutes not months.,,tool828355421769954463,tools,2021-02-05,"ETL, accessibility",https://www.trifacta.com/,,,,,
Termite,TERMite (TERM identification,,tool-4544028877615330347,tools,2021-02-05,"ETL, accessibility",,,,,,
fairifier,A general-purpose FAIRifier on the basis of the OpenRefine data cleaning and wrangling tool and the RDF plugin. This FAIRifier enables a post-hoc FAIRification workflow: load an existing dataset,,tool-2985223437548704761,tools,2021-02-05,"ETL, findability",,,,,,
query tabular,galaxy only,,tool-8650457348792010915,tools,2021-02-05,"ETL, interoperability",,,,,,
martview,Tool for data retrieval and data mining that integrates data from Ensembl. Through the web interface it allows you to apply a series of filters to create custom datasets which can be converted to several useful output formats.,,tool-2245596179367195657,tools,2021-02-05,"ETL, interoperability",,,,,,
osirix,OsiriX is an image processing software dedicated to DICOM images (“.dcm” / “.DCM” extension) produced by imaging equipment (MRI,,tool-5927044756952364085,tools,2021-02-05,"ETL, findability",,,,,,
ms-data-core-api,The ms-data-core-api is a free,,tool4940931381669193674,tools,2021-02-05,"ETL, reusability",,,,,,
snpator,deprecated,,tool180773408246401237,tools,2021-02-05,"ETL, reusability",,,,,,
disqover,DISQOVER is a data integration platform for public,,tool-5607621352020703842,tools,2021-02-05,"ETL, findability",,,,,,
